t h j deltafi cs
6.136363636363636702e+06 2.202523469902404815e-03 1.041202933059150837e+01 -8.729469677241449843e-02 1.911966481862100442e-01
6.212121212121211924e+06 2.231537161133185804e-03 1.043059602626056837e+01 -8.724177770920257813e-02 1.917366200852504143e-01
6.287878787878788076e+06 2.260602774173708224e-03 1.044927970018630070e+01 -8.718855323197788332e-02 1.922808172566318752e-01
6.363636363636364229e+06 2.289720631748463301e-03 1.046808160452445513e+01 -8.713502015300492176e-02 1.928292928265017414e-01
6.439393939393939450e+06 2.318891059088079923e-03 1.048700300975206545e+01 -8.708117523865355203e-02 1.933821008201084546e-01
6.515151515151515603e+06 2.348114383929327236e-03 1.050604520498990802e+01 -8.702701520860524342e-02 1.939392961803706461e-01
6.590909090909090824e+06 2.377390936515115082e-03 1.052520949833188979e+01 -8.697253673504240501e-02 1.945009347869115779e-01
6.666666666666666977e+06 2.406721049594491395e-03 1.054449721718155786e+01 -8.691773644182031189e-02 1.950670734755654279e-01
6.742424242424242198e+06 2.436105058422641766e-03 1.056390970859586886e+01 -8.686261090362108750e-02 1.956377700583737944e-01
6.818181818181818351e+06 2.465543300760896384e-03 1.058344833963648313e+01 -8.680715664508954765e-02 1.962130833440821343e-01
6.893939393939394504e+06 2.495036116876720063e-03 1.060311449772866510e+01 -8.675137013995011526e-02 1.967930731591570614e-01
6.969696969696969725e+06 2.524583849543719175e-03 1.062290959102810461e+01 -8.669524781010463921e-02 1.973778003693338612e-01
7.045454545454545878e+06 2.554186844041639488e-03 1.064283504879576725e+01 -8.663878602471029866e-02 1.979673269017132586e-01
7.121212121212121099e+06 2.583845448156364862e-03 1.066289232178105273e+01 -8.658198109923741226e-02 1.985617157674221256e-01
7.196969696969697252e+06 2.613560012179921583e-03 1.068308288261343542e+01 -8.652482929450633353e-02 1.991610310848578591e-01
7.272727272727273405e+06 2.643330888910473166e-03 1.070340822620281784e+01 -8.646732681570315493e-02 1.997653381035297548e-01
7.348484848484848626e+06 2.673158433652321649e-03 1.072386987014883708e+01 -8.640946981137333227e-02 2.003747032285183027e-01
7.424242424242424779e+06 2.703043004215911500e-03 1.074446935515937795e+01 -8.635125437239304924e-02 2.009891940455693637e-01
7.500000000000000000e+06 2.732984960917824412e-03 1.076520824547845123e+01 -8.629267653091743373e-02 2.016088793468459595e-01
